"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.332777610E-1,-1.159500033E-1,3.795000166E-2,9.832050323E0
3.357782970E-1,-1.319999993E-1,3.600000218E-2,9.829050064E0
3.382789230E-1,-1.609500051E-1,2.205000073E-2,9.832050323E0
3.407793090E-1,-1.200000048E-1,4.500000179E-2,9.835950851E0
3.432798460E-1,-1.159500033E-1,3.600000218E-2,9.858000755E0
3.457804610E-1,-1.129500046E-1,4.995000362E-2,9.868050575E0
3.482808340E-1,-1.039500013E-1,3.299999982E-2,9.858000755E0
3.507813700E-1,-5.295000225E-2,2.400000021E-2,9.856050491E0
3.532817570E-1,-2.700000070E-2,1.005000062E-2,9.838950157E0
3.557823700E-1,-1.695000008E-2,-1.605000161E-2,9.847950935E0
3.582829060E-1,-2.895000204E-2,-1.305000018E-2,9.846000671E0
3.607832900E-1,-2.895000204E-2,-3.000000119E-2,9.862950325E0
3.632839040E-1,-3.405000269E-2,-4.695000127E-2,9.871950150E0
3.657844440E-1,-1.695000008E-2,-4.200000316E-2,9.856050491E0
3.682848430E-1,1.050000079E-3,-5.700000376E-2,9.829050064E0
3.707854560E-1,6.000000052E-3,-9.000000358E-2,9.826950073E0
3.732859970E-1,-1.995000057E-2,-1.039500013E-1,9.850950241E0
3.757863810E-1,-1.995000057E-2,-7.995000482E-2,9.846000671E0
3.782869950E-1,-1.695000008E-2,-8.505000174E-2,9.865050316E0
3.807875350E-1,-3.405000269E-2,-5.895000324E-2,9.858000755E0
3.832879200E-1,-6.495000422E-2,-5.400000140E-2,9.846000671E0
3.857885330E-1,-4.395000264E-2,-6.599999964E-2,9.841050148E0
3.882890450E-1,-4.395000264E-2,-6.405000389E-2,9.829050064E0
3.907894290E-1,-6.000000238E-2,-4.500000179E-2,9.822000504E0
3.932900430E-1,-7.500000298E-2,-1.305000018E-2,9.850950241E0
3.957903520E-1,-1.080000028E-1,1.005000062E-2,9.853050232E0
3.982909660E-1,-1.080000028E-1,3.105000220E-2,9.865050316E0
4.007914900E-1,-7.995000482E-2,2.895000204E-2,9.870000839E0
4.032918770E-1,-4.395000264E-2,2.400000021E-2,9.841050148E0
4.057924900E-1,-1.695000008E-2,4.305000231E-2,9.822000504E0
4.082930310E-1,-4.905000329E-2,4.305000231E-2,9.829050064E0
4.107934150E-1,-4.095000029E-2,4.095000029E-2,9.856050491E0
4.132940290E-1,-2.895000204E-2,6.000000238E-2,9.850950241E0
4.157945690E-1,-1.005000062E-2,5.505000427E-2,9.856050491E0
4.182949540E-1,-2.505000122E-2,6.705000252E-2,9.856050491E0
4.207955670E-1,-2.505000122E-2,7.905000448E-2,9.858000755E0
4.232961080E-1,-2.205000073E-2,8.400000632E-2,9.838950157E0
4.257964920E-1,-1.050000079E-3,6.705000252E-2,9.856050491E0
4.282971060E-1,-3.195000067E-2,7.905000448E-2,9.853050232E0
4.307976460E-1,-5.295000225E-2,8.895000070E-2,9.832050323E0
4.332980260E-1,-6.795000285E-2,8.595000207E-2,9.856050491E0
4.357986390E-1,-8.700000495E-2,9.105000645E-2,9.838950157E0
4.382991790E-1,-7.995000482E-2,5.505000427E-2,9.844050407E0
4.407995640E-1,-3.195000067E-2,5.505000427E-2,9.826950073E0
4.433001860E-1,-6.300000101E-2,4.500000179E-2,9.829050064E0
4.458007270E-1,-1.080000028E-1,3.105000220E-2,9.856050491E0
4.483011120E-1,-1.159500033E-1,2.205000073E-2,9.870000839E0
4.508017250E-1,-9.405000508E-2,2.400000021E-2,9.856050491E0
4.533022650E-1,-6.795000285E-2,-9.000000544E-3,9.838950157E0
4.558026500E-1,-8.205000311E-2,-3.495000303E-2,9.829050064E0
4.583032630E-1,-7.695000619E-2,-3.299999982E-2,9.829050064E0
4.608038040E-1,-8.400000632E-2,-4.500000179E-2,9.838950157E0
4.633041890E-1,-9.405000508E-2,-4.005000368E-2,9.838950157E0
4.658048120E-1,-1.060500070E-1,-2.100000158E-2,9.871950150E0
4.683051220E-1,-1.279500127E-1,-3.299999982E-2,9.859950066E0
4.708057350E-1,-1.350000054E-1,-4.200000316E-2,9.868050575E0
4.733062730E-1,-1.390500069E-1,-3.705000132E-2,9.853050232E0
4.758068790E-1,-1.230000034E-1,-4.200000316E-2,9.832050323E0
4.783072660E-1,-1.159500033E-1,-2.505000122E-2,9.814950943E0
4.808078020E-1,-1.350000054E-1,-9.000000544E-3,9.834000587E0
4.833081890E-1,-1.560000032E-1,-6.000000052E-3,9.850950241E0
4.858088310E-1,-1.630500108E-1,4.950000439E-3,9.850950241E0
4.883093710E-1,-1.300500035E-1,1.905000024E-2,9.856050491E0
4.908097560E-1,-1.369500011E-1,5.295000225E-2,9.853050232E0
4.933103690E-1,-1.230000034E-1,4.800000042E-2,9.853050232E0
4.958108960E-1,-1.390500069E-1,7.695000619E-2,9.834000587E0
4.983112810E-1,-1.540500075E-1,8.400000632E-2,9.832050323E0
5.008118940E-1,-1.540500075E-1,7.200000435E-2,9.847950935E0
5.033124340E-1,-1.319999993E-1,9.105000645E-2,9.841050148E0
5.058128190E-1,-1.230000034E-1,1.050000042E-1,9.853050232E0
5.083134270E-1,-1.180500090E-1,1.099500060E-1,9.859950066E0
5.108139680E-1,-9.405000508E-2,1.080000028E-1,9.841050148E0
5.133143530E-1,-6.795000285E-2,8.595000207E-2,9.825000763E0
5.158149660E-1,-5.805000290E-2,7.905000448E-2,9.844050407E0
5.183154870E-1,-7.695000619E-2,7.200000435E-2,9.835950851E0
5.208158720E-1,-7.695000619E-2,5.700000376E-2,9.877050400E0
5.233164080E-1,-6.300000101E-2,3.795000166E-2,9.871950150E0
5.258170240E-1,-4.605000094E-2,1.905000024E-2,9.858000755E0
5.283174050E-1,-1.050000079E-3,-1.050000079E-3,9.822000504E0
5.308179420E-1,-1.050000079E-3,-6.000000052E-3,9.814950943E0
5.333185570E-1,-7.950000465E-3,-1.095000096E-2,9.859950066E0
5.358189440E-1,-2.505000122E-2,-2.505000122E-2,9.859950066E0
5.383194650E-1,-2.700000070E-2,-3.000000119E-2,9.886950493E0
5.408200810E-1,-1.500000060E-2,-3.299999982E-2,9.874950409E0
5.433204670E-1,-1.305000018E-2,-2.505000122E-2,9.844050407E0
5.458210040E-1,-1.995000057E-2,-6.000000052E-3,9.835950851E0
5.483216190E-1,-3.900000080E-2,1.950000064E-3,9.826950073E0
5.508220060E-1,-5.805000290E-2,2.400000021E-2,9.832050323E0
5.533225420E-1,-8.400000632E-2,3.795000166E-2,9.847950935E0
5.558231580E-1,-1.039500013E-1,1.695000008E-2,9.846000671E0
5.583235590E-1,-1.560000032E-1,2.595000155E-2,9.856050491E0
5.608240960E-1,-1.540500075E-1,4.305000231E-2,9.847950935E0
5.633244820E-1,-1.560000032E-1,5.700000376E-2,9.832050323E0
5.658250960E-1,-1.630500108E-1,6.705000252E-2,9.832050323E0
5.683256360E-1,-1.920000017E-1,7.395000011E-2,9.817050934E0
5.708260060E-1,-2.110500038E-1,5.700000376E-2,9.835950851E0
5.733265420E-1,-2.230500132E-1,4.305000231E-2,9.868050575E0
5.758271580E-1,-2.400000095E-1,7.200000435E-2,9.858000755E0
5.783275440E-1,-2.209500074E-1,7.395000011E-2,9.844050407E0
5.808280670E-1,-2.299500108E-1,6.495000422E-2,9.825000763E0
5.833286820E-1,-2.280000150E-1,7.695000619E-2,9.810000420E0
5.858290690E-1,-2.329500169E-1,7.200000435E-2,9.834000587E0
5.883296050E-1,-2.160000056E-1,8.100000024E-2,9.838950157E0
5.908302160E-1,-1.990500093E-1,5.700000376E-2,9.850950241E0
5.933306020E-1,-2.160000056E-1,6.705000252E-2,9.870000839E0
5.958311390E-1,-1.990500093E-1,4.800000042E-2,9.856050491E0
5.983317540E-1,-1.609500051E-1,4.095000029E-2,9.834000587E0
6.008321410E-1,-1.279500127E-1,1.695000008E-2,9.813000679E0
6.033326920E-1,-1.110000089E-1,1.200000010E-2,9.835950851E0
6.058333080E-1,-1.060500070E-1,-4.050000105E-3,9.847950935E0
6.083336940E-1,-9.405000508E-2,-3.495000303E-2,9.862950325E0
6.108342310E-1,-5.805000290E-2,-3.495000303E-2,9.882000923E0
6.133348460E-1,-4.095000029E-2,-4.200000316E-2,9.850950241E0
6.158352330E-1,-1.500000060E-2,-3.299999982E-2,9.841050148E0
6.183357690E-1,6.000000052E-3,-1.605000161E-2,9.826950073E0
6.208363850E-1,-7.950000465E-3,1.395000052E-2,9.838950157E0
6.233367710E-1,-1.005000062E-2,1.695000008E-2,9.862950325E0
6.258373180E-1,-1.005000062E-2,2.400000021E-2,9.871950150E0
6.283379330E-1,6.000000052E-3,5.295000225E-2,9.871950150E0
6.308382430E-1,-1.005000062E-2,8.595000207E-2,9.847950935E0
6.333388560E-1,-1.500000060E-2,8.595000207E-2,9.841050148E0
6.358392240E-1,-2.205000073E-2,7.200000435E-2,9.838950157E0
6.383397600E-1,-1.995000057E-2,6.705000252E-2,9.834000587E0
6.408403760E-1,-4.395000264E-2,7.200000435E-2,9.834000587E0
6.433407620E-1,-7.695000619E-2,6.900000572E-2,9.850950241E0
6.458412940E-1,-6.795000285E-2,4.800000042E-2,9.847950935E0
6.483419090E-1,-6.300000101E-2,4.800000042E-2,9.870000839E0
6.508422960E-1,-2.895000204E-2,3.105000220E-2,9.834000587E0
6.533428320E-1,-4.395000264E-2,1.395000052E-2,9.817050934E0
6.558434480E-1,-7.005000114E-2,-9.000000544E-3,9.829050064E0
6.583438390E-1,-7.995000482E-2,4.950000439E-3,9.834000587E0
6.608443760E-1,-8.700000495E-2,-4.050000105E-3,9.856050491E0
6.633449910E-1,-8.205000311E-2,-2.100000158E-2,9.868050575E0
6.658453780E-1,-5.595000088E-2,-2.295000106E-2,9.858000755E0
6.683459280E-1,-8.700000495E-2,-3.299999982E-2,9.834000587E0
6.708465440E-1,-9.900000691E-2,-2.295000106E-2,9.825000763E0
6.733469300E-1,-9.900000691E-2,-4.005000368E-2,9.856050491E0
6.758474670E-1,-1.060500070E-1,-4.005000368E-2,9.841050148E0
6.783480720E-1,-1.560000032E-1,-3.495000303E-2,9.844050407E0
6.808484590E-1,-1.710000038E-1,-4.500000179E-2,9.838950157E0
6.833489950E-1,-1.710000038E-1,-4.005000368E-2,9.846000671E0
6.858496110E-1,-1.900500059E-1,-3.299999982E-2,9.835950851E0
6.883499970E-1,-1.750500053E-1,-3.705000132E-2,9.829050064E0
6.908505390E-1,-1.849500090E-1,-4.500000179E-2,9.820050240E0
6.933511540E-1,-1.780500114E-1,-3.705000132E-2,9.838950157E0
6.958515410E-1,-2.070000172E-1,-2.805000171E-2,9.862950325E0
6.983520770E-1,-1.969500035E-1,-3.705000132E-2,9.870000839E0
7.008524690E-1,-1.800000072E-1,-2.295000106E-2,9.856050491E0
7.033530820E-1,-1.849500090E-1,-2.295000106E-2,9.846000671E0
7.058536230E-1,-1.830000132E-1,-1.605000161E-2,9.838950157E0
7.083540070E-1,-1.660500020E-1,0.000000000E0,9.817050934E0
7.108546160E-1,-1.680000126E-1,-1.050000079E-3,9.829050064E0
7.133551560E-1,-1.800000072E-1,1.200000010E-2,9.832050323E0
7.158555410E-1,-1.800000072E-1,4.095000029E-2,9.858000755E0
7.183560770E-1,-1.800000072E-1,6.195000187E-2,9.850950241E0
7.208566690E-1,-1.590000093E-1,6.705000252E-2,9.847950935E0
7.233570550E-1,-1.249500066E-1,4.305000231E-2,9.844050407E0
7.258575920E-1,-7.005000114E-2,6.900000572E-2,9.820050240E0
7.283582070E-1,-9.600000083E-2,5.700000376E-2,9.838950157E0
7.308585990E-1,-7.695000619E-2,5.295000225E-2,9.844050407E0
7.333591350E-1,-6.795000285E-2,6.195000187E-2,9.858000755E0
7.358597510E-1,-2.895000204E-2,5.295000225E-2,9.835950851E0
7.383601370E-1,1.800000109E-2,3.795000166E-2,9.846000671E0
7.408606740E-1,5.100000277E-2,4.500000179E-2,9.846000671E0
7.433612890E-1,7.005000114E-2,3.299999982E-2,9.870000839E0
7.458616760E-1,7.995000482E-2,2.895000204E-2,9.853050232E0
7.483622120E-1,7.304999977E-2,2.205000073E-2,9.865050316E0
7.508625990E-1,9.900000691E-2,7.050000131E-3,9.870000839E0
7.533632310E-1,9.900000691E-2,1.950000064E-3,9.853050232E0
7.558637720E-1,1.060500070E-1,-9.000000544E-3,9.856050491E0
7.583641560E-1,1.039500013E-1,-6.000000052E-3,9.841050148E0
7.608647700E-1,9.900000691E-2,-3.000000119E-2,9.847950935E0
7.633653100E-1,9.405000508E-2,-2.505000122E-2,9.844050407E0
7.658656850E-1,6.795000285E-2,-1.095000096E-2,9.856050491E0
7.683662980E-1,3.000000119E-2,-4.050000105E-3,9.856050491E0
7.708668390E-1,1.500000060E-2,0.000000000E0,9.847950935E0
7.733672230E-1,3.000000026E-3,-1.050000079E-3,9.850950241E0
