"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.256288950E-1,-2.250000089E-1,2.700000070E-2,9.834000587E0
3.281294320E-1,-2.059500068E-1,2.700000070E-2,9.847950935E0
3.306297420E-1,-2.010000050E-1,5.295000225E-2,9.829050064E0
3.331301240E-1,-1.969500035E-1,1.800000109E-2,9.853050232E0
3.356304340E-1,-1.849500090E-1,3.900000080E-2,9.846000671E0
3.381309660E-1,-1.630500108E-1,1.995000057E-2,9.846000671E0
3.406312760E-1,-1.770000011E-1,2.505000122E-2,9.835950851E0
3.431316590E-1,-1.630500108E-1,3.195000067E-2,9.859950066E0
3.456319340E-1,-1.819500029E-1,2.700000070E-2,9.838950157E0
3.481322420E-1,-2.040000111E-1,2.700000070E-2,9.822000504E0
3.506327790E-1,-1.870500147E-1,7.950000465E-3,9.859950066E0
3.531330880E-1,-1.699500084E-1,1.305000018E-2,9.829050064E0
3.556334710E-1,-1.849500090E-1,2.505000122E-2,9.850950241E0
3.581337580E-1,-1.770000011E-1,1.305000018E-2,9.865050316E0
3.606340650E-1,-1.849500090E-1,1.500000060E-2,9.841050148E0
3.631346020E-1,-1.939500123E-1,3.000000119E-2,9.834000587E0
3.656349110E-1,-2.059500068E-1,2.505000122E-2,9.834000587E0
3.681352890E-1,-1.890000105E-1,7.950000465E-3,9.846000671E0
3.706355990E-1,-2.040000111E-1,3.000000119E-2,9.834000587E0
3.731359070E-1,-1.770000011E-1,3.405000269E-2,9.859950066E0
3.756364430E-1,-2.040000111E-1,2.700000070E-2,9.823950768E0
3.781367290E-1,-2.040000111E-1,3.405000269E-2,9.841050148E0
3.806371110E-1,-1.890000105E-1,3.405000269E-2,9.838950157E0
3.831374210E-1,-1.890000105E-1,3.705000132E-2,9.831000328E0
3.856379570E-1,-1.920000017E-1,3.195000067E-2,9.841050148E0
3.881382670E-1,-1.819500029E-1,4.395000264E-2,9.841050148E0
3.906385640E-1,-1.729500145E-1,4.095000029E-2,9.855000496E0
3.931389460E-1,-1.729500145E-1,3.405000269E-2,9.858000755E0
3.956392560E-1,-1.939500123E-1,3.900000080E-2,9.846000671E0
3.981397930E-1,-1.630500108E-1,3.195000067E-2,9.847950935E0
4.006400930E-1,-1.819500029E-1,3.900000080E-2,9.843000412E0
4.031404760E-1,-2.059500068E-1,3.405000269E-2,9.855000496E0
4.056407860E-1,-2.010000050E-1,2.505000122E-2,9.831000328E0
4.081413220E-1,-1.920000017E-1,3.000000119E-2,9.822000504E0
4.106416410E-1,-1.990500093E-1,2.205000073E-2,9.855000496E0
4.131419490E-1,-2.089500129E-1,4.395000264E-2,9.841050148E0
4.156423310E-1,-1.969500035E-1,2.700000070E-2,9.834000587E0
4.181426410E-1,-2.089500129E-1,2.505000122E-2,9.834000587E0
4.206431770E-1,-2.059500068E-1,3.405000269E-2,9.831000328E0
4.231435020E-1,-1.920000017E-1,4.095000029E-2,9.843000412E0
4.256438850E-1,-2.179500163E-1,3.705000132E-2,9.850950241E0
4.281441940E-1,-2.110500038E-1,4.095000029E-2,9.841050148E0
4.306447310E-1,-2.089500129E-1,4.905000329E-2,9.853050232E0
4.331447950E-1,-2.089500129E-1,5.100000277E-2,9.834000587E0
4.356453310E-1,-2.040000111E-1,3.195000067E-2,9.834000587E0
4.381456410E-1,-1.890000105E-1,4.395000264E-2,9.838950157E0
4.406460240E-1,-1.990500093E-1,5.805000290E-2,9.855000496E0
4.431463230E-1,-2.059500068E-1,5.595000088E-2,9.834000587E0
