"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.496126500E-1,1.249500066E-1,6.705000252E-2,9.847950935E0
5.521130450E-1,1.710000038E-1,6.000000238E-2,9.853050232E0
5.546135820E-1,2.160000056E-1,9.600000083E-2,9.847950935E0
5.571139680E-1,2.400000095E-1,7.695000619E-2,9.850950241E0
5.596145050E-1,2.430000156E-1,5.295000225E-2,9.844050407E0
5.621148910E-1,2.400000095E-1,4.995000362E-2,9.841050148E0
5.646154280E-1,2.310000062E-1,6.195000187E-2,9.844050407E0
5.671158140E-1,2.620500028E-1,8.400000632E-2,9.820050240E0
5.696161220E-1,3.100500107E-1,6.000000238E-2,9.825000763E0
5.721166590E-1,3.169500232E-1,3.600000218E-2,9.838950157E0
5.746170450E-1,3.100500107E-1,2.400000021E-2,9.870000839E0
5.771175820E-1,3.259500265E-1,2.895000204E-2,9.853050232E0
5.796179680E-1,3.409500122E-1,4.095000029E-2,9.825000763E0
5.821185050E-1,3.100500107E-1,4.095000029E-2,9.832050323E0
5.846188860E-1,2.710500062E-1,2.595000155E-2,9.844050407E0
5.871194230E-1,2.569500208E-1,2.400000021E-2,9.847950935E0
5.896197330E-1,2.779500186E-1,2.205000073E-2,9.844050407E0
5.921201150E-1,2.830500007E-1,2.595000155E-2,9.853050232E0
5.946206540E-1,2.809500098E-1,7.050000131E-3,9.844050407E0
5.971210690E-1,2.670000196E-1,1.005000062E-2,9.846000671E0
5.996216060E-1,2.350500077E-1,3.105000220E-2,9.853050232E0
6.021219920E-1,2.280000150E-1,3.795000166E-2,9.844050407E0
6.046225290E-1,2.760000229E-1,1.395000052E-2,9.841050148E0
6.071229300E-1,3.100500107E-1,2.595000155E-2,9.825000763E0
6.096234670E-1,3.000000119E-1,7.050000131E-3,9.858000755E0
6.121238540E-1,3.100500107E-1,2.400000021E-2,9.865050316E0
6.146243900E-1,3.600000143E-1,1.395000052E-2,9.846000671E0
6.171247910E-1,3.889500201E-1,3.105000220E-2,9.817050934E0
6.196253270E-1,3.480000198E-1,-4.050000105E-3,9.841050148E0
6.221257140E-1,3.379500210E-1,-1.305000018E-2,9.829050064E0
6.246260210E-1,3.409500122E-1,-1.605000161E-2,9.829050064E0
6.271265580E-1,3.769500256E-1,-1.095000096E-2,9.856050491E0
6.296269540E-1,3.979500234E-1,-1.800000109E-2,9.850950241E0
6.321274910E-1,3.840000033E-1,-3.000000119E-2,9.822000504E0
6.346278780E-1,3.220500052E-1,-3.000000119E-2,9.825000763E0
6.371284140E-1,2.520000041E-1,-2.295000106E-2,9.838950157E0
6.396288050E-1,2.449500114E-1,-1.305000018E-2,9.853050232E0
